dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Ho,"'Ho',",CENTRAL,Central,223614,0.72,255168,280139,303552,329405,352728,377299,398016,419775,437400,456472,471168,487245,498240,510361,517320,526109,34319,639284,3.5,
Ho West,"'Ho West',",NORTHERN,Northern,119389,0.39,138216,149568,164424,175872,191061,201442,215592,224120,236925,243713,255216,260143,269880,272485,280215,280893,15401,1117105,13.7,
Hohoe,"'Hohoe',",VOLTA,Volta,210769,0.68,240992,264047,286688,310483,333132,355626,375904,395662,413100,430251,444992,459256,470560,481045,488580,495888,23659,762258,4.4,
Jaman North,"'Jaman North',",VOLTA,Volta,105210,0.34,120496,131805,143344,154984,166566,177518,187952,197503,206550,214769,222496,229248,235280,240124,244290,247533,21081,1144554,5.6,
Jaman South,"'Jaman South',",VOLTA,Volta,117315,0.38,134672,146970,160208,172816,186162,197943,210064,220227,230850,239479,248672,255624,262960,267752,273030,276013,23010,838232,3.2,
Jasikan,"'Jasikan',",BONO,Bono,74281,0.24,85056,93058,101184,109423,117576,125333,132672,139442,145800,151633,157056,161855,166080,169534,172440,174765,8378,619202,,
Jomoro,"'Jomoro',",BONO,Bono,199725,0.65,230360,250211,274040,294214,318435,336991,359320,374930,394875,407706,425360,435192,449800,455838,467025,469904,27237,1621464,2.2,
Juaben,"'Juaben',",OTI,Oti,59915,0.19,67336,75060,80104,88261,93081,101093,105032,112474,115425,122307,124336,130552,131480,136746,136515,140965,10656,387412,7.3,
Juaboso,"'Juaboso',",UPPER WEST,Upper West,77963,0.25,88600,97670,105400,114847,122475,131545,138200,146354,151875,159149,163600,169878,173000,177937,179625,183428,12135,1520021,6.1,
Kadjebi,"'Kadjebi',",WESTERN,Western,74386,0.24,85056,93189,101184,109578,117576,125510,132672,139640,145800,151847,157056,162084,166080,169773,172440,175012,8157,768632,,
Karaga (Karaga),"'Karaga (Karaga)',",ASHANTI,Ashanti,98046,0.32,113408,122830,134912,144431,156768,165431,176896,184055,194400,200145,209408,213638,221440,223773,229920,230678,8943,3470989,,
Kasena Nankana,"'Kasena Nankana',",WESTERN NORTH,Western North,136875,0.44,155936,171474,185504,201630,215556,230946,243232,256946,267300,279408,287936,298245,304480,312394,316140,322033,13552,852967,,
Kasena Nankana West,"'Kasena Nankana West',",OTI,Oti,87987,0.28,99232,110228,118048,129613,137172,148458,154784,165172,170100,179611,183232,191720,193760,200815,201180,207012,7096,970305,,
Keta,"'Keta',",NORTHERN,Northern,81810,0.26,92144,102490,109616,120514,127374,138036,143728,153576,157950,167002,170144,178260,179920,186717,186810,192479,17398,399880,,
Ketu North,"'Ketu North',",UPPER EAST,Upper East,125956,0.41,145304,157795,172856,185545,200859,212523,226648,236448,249075,257119,268304,274452,283720,287473,294585,296344,21753,472387,9.3,
Ketu South,"'Ketu South',",UPPER EAST,Upper East,202734,0.65,230360,253981,274040,298647,318435,342068,359320,380578,394875,413848,425360,441748,449800,462706,467025,476983,47702,310299,2.5,
Kintampo North,"'Kintampo North',",VOLTA,Volta,119762,0.39,138216,150035,164424,176421,191061,202072,215592,224821,236925,244475,255216,260956,269880,273336,280215,281771,17653,5431939,5.7,
Kintampo South,"'Kintampo South',",VOLTA,Volta,101494,0.33,116952,127149,139128,149510,161667,171248,182424,190527,200475,207183,215952,221151,228360,231643,237105,238791,13394,1681351,12.8,
Komenda Edina Eguafo Abirem,"'Komenda Edina Eguafo Abirem',",VOLTA,Volta,171278,0.55,194920,214573,231880,252309,269445,288993,304040,321528,334125,349636,359920,373207,380600,390913,395175,402975,24413,502922,,
Korle Klottey,"'Korle Klottey',",BONO EAST,Bono East,153452,0.5,177200,192241,210800,226050,244950,258916,276400,288065,303750,313247,327200,334365,346000,350228,359250,361035,12857,13289,,
Kpandai,"'Kpandai',",BONO EAST,Bono East,137249,0.44,155936,171943,185504,202181,215556,231577,243232,257648,267300,280171,287936,299059,304480,313248,316140,322913,9939,1261277,13.8,
Kpando,"'Kpando',",CENTRAL,Central,67831,0.22,77968,84977,92752,99922,107778,114450,121616,127334,133650,138466,143968,147801,152240,154813,158070,159590,13456,349850,5,
Kpone Katamanso,"'Kpone Katamanso',",GREATER ACCRA,Greater Accra,138529,0.45,159480,173546,189720,204067,220455,233737,248760,260051,273375,282784,294480,301849,311400,316169,323325,325925,82926,267058,,
Krachi East,"'Krachi East',",NORTHERN,Northern,146402,0.47,166568,183409,198152,215664,230253,247021,259816,274830,285525,298856,307568,319003,325240,334138,337695,344448,13374,3073226,10.9,
Krachi Nchumuru,"'Krachi Nchumuru',",VOLTA,Volta,91179,0.29,102776,114227,122264,134315,142071,153844,160312,171164,176175,186127,189776,198675,200680,208101,208365,214522,10096,1330252,9,
Krachi West,"'Krachi West',",GREATER ACCRA,Greater Accra,61960,0.2,70880,77622,84320,91273,97980,104544,110560,116313,121500,126481,130880,135008,138400,141413,143700,145777,9698,1033641,6.4,
Krowor,"'Krowor',",OTI,Oti,128675,0.42,148848,161201,177072,189551,205758,217110,232176,241552,255150,262669,274848,280377,290640,293679,301770,302741,18284,18905,7,
Kumbungu,"'Kumbungu',",OTI,Oti,49626,0.16,56704,62170,67456,73104,78384,83733,88448,93159,97200,101303,104704,108133,110720,113263,114960,116758,14871,1713702,9.6,
Kwabre East,"'Kwabre East',",OTI,Oti,143180,0.46,163024,179373,193936,210918,225354,241584,254288,268782,279450,292279,301024,311983,318320,326784,330510,336867,50522,136663,6.2,
Kwadaso,"'Kwadaso',",GREATER ACCRA,Greater Accra,311242,1.01,357944,389917,425816,458490,494799,525151,558328,584272,613575,635350,660944,678182,698920,710357,725685,732276,28521,36930,5,
